Question,Expected Source,Retrieved Sources,Retriever Correct,Answer Correct,Hallucination,Latency,Answer
Cà phê muối giá bao nhiêu?,menu_item,"menu_item, menu_item, menu_item, menu_item, menu_item",True,True,False,12.131,"Cà Phê Muối có giá là:
- **Size M**: 35.000 VNĐ
- **Size L**: 43.000 VNĐ

Bạn có muốn đặt dùng thử không ạ?"
Trà đào sả cam giá bao nhiêu tiền?,menu_item,"menu_item, menu_item, menu_item, menu_item, menu_item",True,True,False,3.299,"Dạ, Trà Đào Sả Cam có giá như sau ạ:
- **Size M:** 38.000 VNĐ
- **Size L:** 46.000 VNĐ

Bạn có muốn đặt dùng thử không ạ?"
Quán có bán trà sữa ô long nướng không?,menu_item,"menu_item, faq, menu_item, menu_item, faq",True,True,False,13.287,"DMP có bán Trà Sữa Ô Long Nướng bạn nhé! Đây cũng là một trong những món best-seller của quán với hương vị trà ô long sao cháy thơm mùi khói nhẹ, kết hợp vị béo thơm rất cuốn.

Giá của món này là:
- **Size M:** 39.000 VNĐ
- **Size L:** 47.000 VNĐ

Bạn có muốn đặt dùng thử không ạ?"
Bánh tiramisu giá bao nhiêu?,menu_item,"menu_item, menu_item, menu_item, menu_item, promotion",True,True,False,4.874,"Bánh Tiramisu Truyền Thống có giá là 35.000 VNĐ bạn nhé. Bánh mềm mịn, đậm vị Espresso và rượu Kahlua rất ngon ạ. Bạn có muốn đặt dùng thử không?"
Đá xay Caramel Coffee Freeze size L giá bao nhiêu?,menu_item,"menu_item, menu_item, menu_item, menu_item, menu_item",True,True,False,24.196,"Caramel Coffee Freeze size L có giá là 57.000 VNĐ bạn nhé. 

Món này là espresso đá xay caramel phủ thạch cà phê giòn rất thơm ngon. Bạn có muốn đặt thưởng thức không ạ?"
Bạc xỉu và cà phê sữa đá cái nào rẻ hơn?,menu_item,"menu_item, promotion, menu_item, menu_item, menu_item",True,True,False,7.581,"Cà Phê Sữa Đá rẻ hơn Bạc Xỉu bạn nhé. 

Cụ thể giá của 2 món như sau:
- **Cà Phê Sữa Đá:** Size M giá 29.000 VNĐ, Size L giá 37.000 VNĐ.
- **Bạc Xỉu:** Size M giá 32.000 VNĐ, Size L giá 40.000 VNĐ."
Tôi có thể chọn mức đường khi gọi món không?,menu_option,"faq, menu_option, menu_option, menu_option, menu_item",True,True,False,3.301,"Hoàn toàn được bạn nhé! Bạn có thể tùy chỉnh các mức đường khi đặt món tại quán bao gồm: 0% (Không đường), 30% (Ít đường), 50% (Vừa), 70% hoặc 100% (Chuẩn ngọt mặc định của quán)."
Thêm topping trân châu đen thì tính thêm bao nhiêu tiền?,menu_option,"menu_option, menu_item, menu_item, menu_item, menu_item",True,True,False,3.517,Thêm topping trân châu đen thì tính thêm 8.000 VNĐ/phần bạn nhé! Bạn có muốn đặt món gì kèm topping không ạ?
Quán đang có chương trình khuyến mãi gì không?,promotion,"promotion, promotion, promotion, promotion, promotion",True,True,False,11.617,"Hiện tại quán DMP đang có các chương trình khuyến mãi cố định như sau:

1. **Morning Combo (Combo Đi Học / Đi Làm):**
   - **Thời gian:** 06:30 - 09:00 sáng hàng ngày.
   - **Ưu đãi:** 1 Cà Phê Sữa Đá / Đen Đá (Size M) + 1 Bánh Croissant Bơ Tỏi giá chỉ **49.000 VNĐ** (tiết kiệm 9.000 VNĐ).

2. **Milk Tea Tuesday (Ngày Hội Trà Sữa):**
   - **Thời gian:** Cả ngày Thứ 3 hàng tuần.
   - **Ưu đãi:** Mua 1 ly Trà Sữa bất kỳ Size L tặng 1 ly Trà Sữa DMP Truyền Thống Size M (hoặc Voucher giảm 50% cho lần mua sau).

3. **Happy Hour (Khung Giờ Vàng):**
   - **Thời gian:** 14:00 - 16:30, từ Thứ 2 đến Thứ 6.
   - **Ưu đãi:** Giảm 20% cho các món thuộc nhóm Cà Phê Truyền Thống và Cà Phê Máy khi mua tại cửa hàng.

Ngoài ra, quán còn có **Chương trình tích điểm thành viên (DMP Member Club)** với nhiều ưu đãi như giảm 5% vào ngày sinh nhật cho Hạng Bạc.

*Lưu ý:* Các chương trình khuyến mãi không áp dụng đồng thời trên cùng một hóa đơn. 

Bạn quan tâm đến chương trình nào để tôi tư vấn chi tiết hơn nhé!"
Khung giờ vàng giảm giá áp dụng lúc mấy giờ?,promotion,"promotion, promotion, promotion, menu_item, promotion",True,True,False,4.434,"Chương trình Khung Giờ Vàng (Happy Hour) giảm 20% áp dụng từ **14:00 - 16:30, từ Thứ 2 đến Thứ 6 hàng tuần** bạn nhé. 

Ưu đãi này áp dụng cho toàn bộ các món trong nhóm Cà Phê Truyền Thống và Cà Phê Máy khi mua trực tiếp tại cửa hàng ạ."
Thứ 3 có ưu đãi gì cho trà sữa không?,promotion,"promotion, promotion, faq, promotion, faq",True,True,False,13.646,"Vào Thứ 3 hàng tuần, quán tôi có chương trình **Ngày Hội Trà Sữa - Milk Tea Tuesday** vô cùng hấp dẫn:

Khi bạn mua 1 ly Trà Sữa bất kỳ Size L, bạn sẽ được **tặng 1 ly Trà Sữa DMP Truyền Thống Size M** (hoặc nhận Voucher giảm 50% cho lần mua sau). 

Chương trình áp dụng cả ngày Thứ 3. Bạn có muốn đặt ly trà sữa nào không ạ?"
Cách tích điểm thành viên của quán như thế nào?,promotion,"promotion, promotion, promotion, promotion, promotion",True,True,False,5.808,"Để tích điểm thành viên trong chương trình DMP Member Club, bạn chỉ cần đọc **Số điện thoại** cho thu ngân khi thanh toán để hệ thống tự động tích điểm.

**Quy đổi điểm:**
- 10.000 VNĐ chi tiêu = 1 Điểm tích lũy.

**Quyền lợi các hạng thành viên:**
- **Hạng Bạc (Dưới 50 điểm):** Giảm 5% tổng hóa đơn vào ngày sinh nhật.
- **Hạng Vàng (50 - 150 điểm):** Giảm 10% tổng hóa đơn vào ngày sinh nhật và được đổi 50 điểm lấy 1 ly Cà Phê Sữa / Cà Phê Đen / Bạc Xỉu Size M miễn phí.
- **Hạng Kim Cương (Trên 150 điểm):** Giảm 15% tổng hóa đơn vào ngày sinh nhật, giảm cố định 5% cho mọi đơn hàng uống tại quán và miễn phí nâng size M -> L cho 1 ly đồ uống mỗi tuần.

Nếu bạn cần hỗ trợ thêm thông tin gì, cứ báo tôi nhé!"
Hạng Kim Cương có những ưu đãi gì?,promotion,"promotion, menu_option, promotion, promotion, menu_option",True,True,False,27.95,"Chào bạn, với hạng Kim Cương (trên 150 điểm) tại DMP, bạn sẽ nhận được các ưu đãi sau:

- **Giảm 15%** tổng hóa đơn vào ngày sinh nhật.
- **Giảm cố định 5%** cho mọi đơn hàng uống tại quán.
- **Miễn phí nâng size M -> L** cho 1 ly đồ uống mỗi tuần.

Bạn cần tôi hỗ trợ thêm thông tin gì khác không ạ?"
Quán mở cửa từ mấy giờ đến mấy giờ?,faq,"faq, faq, promotion, faq, menu_item",True,True,False,21.84,"Chào bạn, quán DMP mở cửa từ 06:30 sáng đến 22:30 tối tất cả các ngày trong tuần (kể cả ngày lễ, Tết) nhé!"
Quán có chỗ đậu xe ô tô không?,faq,"faq, faq, faq, faq, menu_item",True,True,False,3.016,"Dạ có bạn nhé! Quán có bãi đỗ xe ô tô ngay bên hông quán và gửi xe hoàn toàn miễn phí cho khách hàng uống tại quán, có bảo vệ trông giữ cẩn thận ạ."
Quán có phòng họp cho nhóm đông người không?,faq,"faq, faq, faq, faq, promotion",True,True,False,22.292,"Quán tôi có 2 phòng họp (Meeting Room) tại Tầng 3, sức chứa từ 8 - 15 người và có trang bị sẵn bảng viết, máy chiếu.

Bạn chỉ cần đặt trước qua hotline hoặc Fanpage của quán. Đặc biệt, phòng họp sẽ không mất phí phụ thu nếu tổng hóa đơn đạt trên 300.000 VNĐ bạn nhé!"
